;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
1;-53,68315412;-19,57921147;-62,71039427;-59,73763441;58;117,3935484;50,84157706;-70;-124,1039427;30,57921147;19,1311828;-52,10394265;-15,60645161;-46,84157706;9;33,42078853;16,1311828;36,1311828;33;-73,71039427;9,737634409;-135,1039427;-82,39354839;70,10394265;-97,71039427;2,972759857;72,84157706;40,02724014;-14,10394265;-47,71039427;9,131182796;-16,8688172;-96,1311828;87,39354839;-94,28960573;-42,97275986;85,55197133;-56,57921147;-58,71039427;37,02724014;-33,60645161;-40,8688172
1;-78,68315412;-80,57921147;-103,7103943;3,262365591;6;85,39354839;37,84157706;61;-98,10394265;-20,42078853;23,1311828;-35,10394265;129,3935484;-28,84157706;91;-85,57921147;11,1311828;-59,8688172;-60;-74,71039427;11,73763441;5,896057348;-77,39354839;35,10394265;-95,71039427;92,97275986;100,8415771;18,02724014;-88,10394265;46,28960573;-67,8688172;-10,8688172;33,8688172;-41,60645161;56,71039427;-6,972759857;8,551971326;-32,57921147;76,28960573;32,02724014;50,39354839;24,1311828
1;-1,683154122;-1,57921147;-67,71039427;63,26236559;-37;75,39354839;-63,15842294;90;-7,103942652;-49,42078853;109,1311828;-141,1039427;-14,60645161;-113,8415771;-38;32,42078853;25,1311828;-29,8688172;1;36,28960573;11,73763441;1,896057348;-130,3935484;52,10394265;19,28960573;-32,02724014;-45,15842294;-95,97275986;-45,10394265;53,28960573;26,1311828;-65,8688172;-24,1311828;120,3935484;-41,28960573;-17,97275986;96,55197133;-19,57921147;-53,71039427;-47,97275986;59,39354839;26,1311828
1;-143,6831541;35,42078853;-16,71039427;120,2623656;-52;76,39354839;-40,15842294;-19;-35,10394265;64,57921147;-15,8688172;-105,1039427;90,39354839;0,158422939;-19;-23,57921147;85,1311828;-30,8688172;-30;-80,71039427;41,73763441;-97,10394265;3,606451613;116,1039427;-95,71039427;-12,02724014;-44,15842294;-38,97275986;-128,1039427;-0,710394265;-80,8688172;76,1311828;5,868817204;-22,60645161;-9,289605735;-125,9727599;-2,448028674;-27,57921147;-43,71039427;50,02724014;27,39354839;-81,8688172
1;-4,683154122;57,42078853;-88,71039427;-57,73763441;-91;52,39354839;3,841577061;30;-103,1039427;30,57921147;13,1311828;-39,10394265;125,3935484;-94,84157706;19;-31,57921147;69,1311828;-17,8688172;50;-14,71039427;-1,262365591;-33,10394265;-50,39354839;19,10394265;92,28960573;102,9727599;91,84157706;53,02724014;-39,10394265;-1,710394265;-23,8688172;-17,8688172;0,868817204;-31,60645161;64,71039427;-48,97275986;63,55197133;-81,57921147;89,28960573;-72,97275986;63,39354839;30,1311828
1;-94,68315412;-14,57921147;21,28960573;5,262365591;68;149,3935484;40,84157706;1;25,89605735;-94,42078853;-30,8688172;-84,10394265;107,3935484;-25,84157706;-65;102,4207885;-26,8688172;42,1311828;-60;27,28960573;37,73763441;-10,10394265;-68,39354839;54,10394265;27,28960573;-43,02724014;-35,15842294;-61,97275986;27,89605735;-57,71039427;116,1311828;-75,8688172;48,8688172;5,393548387;90,71039427;-124,9727599;-60,44802867;98,42078853;-26,71039427;-79,97275986;145,3935484;-12,8688172
1;-7,683154122;17,42078853;-54,71039427;11,26236559;55;124,3935484;41,84157706;-74;-134,1039427;-21,42078853;-21,8688172;-116,1039427;88,39354839;-32,84157706;-30;-49,57921147;112,1311828;-6,868817204;-93;63,28960573;57,73763441;-122,1039427;-147,3935484;156,1039427;12,28960573;-2,027240143;33,84157706;-24,97275986;19,89605735;-86,71039427;110,1311828;19,1311828;20,8688172;54,39354839;65,71039427;-16,97275986;-30,44802867;59,42078853;82,28960573;-10,97275986;129,3935484;-2,868817204
1;-77,68315412;103,4207885;56,28960573;4,262365591;-94;58,39354839;78,84157706;13;34,89605735;-42,42078853;74,1311828;-155,1039427;144,3935484;-20,84157706;58;49,42078853;53,1311828;31,1311828;-50;28,28960573;11,73763441;-33,10394265;-68,39354839;153,1039427;-2,710394265;106,9727599;96,84157706;41,02724014;37,89605735;-93,71039427;29,1311828;-39,8688172;-84,1311828;-45,60645161;50,71039427;-49,97275986;-71,44802867;-50,57921147;-67,71039427;37,02724014;140,3935484;5,131182796
1;-1,683154122;27,42078853;-104,7103943;-37,73763441;-60;142,3935484;102,8415771;-89;29,89605735;34,57921147;-10,8688172;-97,10394265;119,3935484;-91,84157706;-77;96,42078853;-61,8688172;72,1311828;-94;-24,71039427;-122,2623656;-56,10394265;37,60645161;137,1039427;-74,71039427;42,97275986;-61,15842294;2,027240143;-32,10394265;89,28960573;-32,8688172;73,1311828;-74,1311828;151,3935484;-92,28960573;-136,9727599;39,55197133;-0,57921147;3,289605735;8,027240143;111,3935484;-17,8688172
